gene	abs_delta_pool	instability_score	pooled_rank	instability_rank	rank_displacement	masked
RvY_12535	0.458252855960084	2.05566421026987	3882	112	3770	FALSE
RvY_09615-1	0.825228537583682	2.05203262875112	979	113	866	FALSE
RvY_10327-1	0.514784764640942	2.05177088495757	3130	114	3016	FALSE
RvY_05236-1	0.764742590605561	2.04957742423582	1221	115	1106	FALSE
RvY_19246-1	0.446759173281134	2.04684132499351	4052	116	3936	FALSE
RvY_03724-1	0.295723309323111	2.04523049379019	6821	117	6704	FALSE
RvY_13954	0.125922344128385	2.0352214089778	11194	118	11076	FALSE
RvY_10801	0.167570886328726	2.03363235782621	10018	119	9899	FALSE
RvY_04137-1	0.630326722587582	2.03192009389413	2033	120	1913	FALSE
RvY_17726-1	0.122665514897983	2.02993722957458	11303	121	11182	FALSE
RvY_17029-1	1.14486031339265	2.02986134976712	244	122	122	FALSE
RvY_02487-1	1.06384300895979	2.02150069820709	343	123	220	FALSE
RvY_05947-1	0.564690643018377	2.0181679036118	2604	124	2480	FALSE
RvY_11669-1	0.612345584051368	2.01814947729117	2171	125	2046	FALSE
RvY_01433-1	1.51910133002084	2.01469277223353	46	126	-80	FALSE
RvY_18984-1	0.209567886168326	2.0108980039125	8878	127	8751	FALSE
RvY_10950	0.0495509763166995	2.00474598141787	13606	128	13478	TRUE
RvY_03043-1	0.455970622466695	2.0023161224907	3918	129	3789	FALSE
RvY_05953-1	0.3000405985728	2.00172922369986	6719	130	6589	FALSE
RvY_03414-1	0.327560399397981	1.9992574224713	6130	131	5999	FALSE
RvY_04041-1	0.187536865496193	1.99420439010089	9438	132	9306	FALSE
RvY_03303-1	0.0917426890140369	1.9932438639271	12200	133	12067	TRUE
RvY_08308-1	0.634950610240007	1.9928060855183	1995	134	1861	FALSE
RvY_11881	0.143896171986215	1.99084147780988	10660	135	10525	FALSE
RvY_13952-1	0.157907463289869	1.99021983934178	10255	136	10119	FALSE
RvY_04112-1	0.552624572056263	1.99021760321563	2725	137	2588	FALSE
RvY_13719-1	0.203927673635214	1.98193185585912	9008	138	8870	FALSE
RvY_05480-1	0.626040579868289	1.98172167607666	2063	139	1924	FALSE
RvY_18904-1	0.670798422989529	1.98022768551571	1737	140	1597	FALSE
RvY_12015-1	1.39156545283192	1.97510256493445	87	141	-54	FALSE
RvY_12820-1	0.443436845804133	1.97367986132736	4091	142	3949	FALSE
RvY_13425-1	0.344144990554964	1.97024635322674	5787	143	5644	FALSE
RvY_10430-1	0.527390284283008	1.96766967818277	2994	144	2850	FALSE
RvY_15787-1	0.833501364661086	1.96762642951223	935	145	790	FALSE
RvY_01023	0.983725369880482	1.96622272349079	494	146	348	FALSE
RvY_00752-1	0.532974226735703	1.96585407291409	2940	147	2793	FALSE
RvY_11637-1	0.35278276541561	1.96092099068077	5603	148	5455	FALSE
RvY_14832-1	0.0957181017613635	1.95817889884557	12085	149	11936	TRUE
RvY_05891-1	0.145546655173677	1.95676112990286	10624	150	10474	FALSE
RvY_16448	0.864033551779476	1.95633159462073	807	151	656	FALSE
RvY_05358	0.123190495503072	1.95579257168404	11287	152	11135	FALSE
RvY_16153-1	0.718908009289851	1.94345421958256	1453	153	1300	FALSE
RvY_03705-1	0.184955928302812	1.94117648315939	9514	154	9360	FALSE
RvY_18372-1	0.378512629325689	1.93787422163164	5133	155	4978	FALSE
RvY_03310-1	0.609236939440032	1.9378661116542	2205	156	2049	FALSE
RvY_16270-1	0.0894616228342766	1.93495443834467	12276	157	12119	TRUE
RvY_12238-1	0.934867402642539	1.92745713080545	608	158	450	FALSE
RvY_14960-1	0.84594149781856	1.92691743833111	877	159	718	FALSE
RvY_10201-1	0.609850534593543	1.92508874563267	2201	160	2041	FALSE
RvY_01082	0.0824303938612356	1.92042198203546	12510	161	12349	TRUE
RvY_08204-1	0.32160516719339	1.91656898502261	6253	162	6091	FALSE
RvY_12935-1	0.927629738484547	1.91012647984688	622	163	459	FALSE
RvY_11364-1	0.270709683643269	1.91009803657536	7403	164	7239	FALSE
RvY_09216-1	0.215775437708873	1.90782175858043	8710	165	8545	FALSE
RvY_05182-1	0.650625240803437	1.90763218826546	1869	166	1703	FALSE
RvY_03061-1	0.126219170389135	1.907393821999	11185	167	11018	FALSE
RvY_09096-1	0.0569978353440961	1.90327633701924	13360	168	13192	TRUE
RvY_08208-1	0.025023969702894	1.90264212914139	14422	169	14253	TRUE
RvY_16592-1	0.702257592952788	1.90051642869457	1540	170	1370	FALSE
RvY_09835-1	0.600530315983628	1.89867048293152	2279	171	2108	FALSE
RvY_17904-1	0.576494658745194	1.89772440089015	2496	172	2324	FALSE
