feature	condition	subgroup_1	subgroup_2	delta_1	delta_2	delta_pool	delta_strat	sign_flip	hetero_gap	discordance	instability_score	var_proxy
RvY_14945	des	fast	slow	0.3574025656954	0.00479575856604786	0.181099162130724	0.181099162130724	FALSE	0.352606807129352	4.44089209850063e-16	0.352606807129353	0.330340168893651
RvY_14948-1	des	fast	slow	-1.2665817530186	-0.49034846659597	-0.878465109807285	-0.878465109807285	FALSE	0.776233286422631	0	0.776233286422631	1.27472596672004
RvY_14949-1	des	fast	slow	0.411918807047246	-0.0789862610684455	0.166466272989401	0.1664662729894	TRUE	0.490905068115692	4.44089209850063e-16	0.490905068115692	0.0756207169210653
RvY_14950-1	des	fast	slow	0.293910885005672	-0.0127006099756928	0.140605137514989	0.140605137514989	TRUE	0.306611494981365	0	0.306611494981365	0.127734236945406
RvY_14951-1	des	fast	slow	-1.1784040016598	-0.567347963600717	-0.872875982630259	-0.872875982630259	FALSE	0.611056038059083	0	0.611056038059083	1.7963709717052
RvY_14954-1	des	fast	slow	-0.312692416505591	-0.183293415123245	-0.247992915814419	-0.247992915814418	FALSE	0.129399001382346	8.88178419700125e-16	0.129399001382347	0.273905035563432
RvY_14956-1	des	fast	slow	0.244369376472248	-0.11500293437217	0.0646832210500392	0.0646832210500388	TRUE	0.359372310844418	4.44089209850063e-16	0.359372310844419	0.0682698389507217
RvY_14957-1	des	fast	slow	0.180582750086149	-0.408274417581266	-0.113845833747559	-0.113845833747559	TRUE	0.588857167667415	0	0.588857167667415	0.128396177123987
RvY_14959-1	des	fast	slow	0.867235849708745	-0.215381421896002	0.325927213906371	0.325927213906371	TRUE	1.08261727160475	4.44089209850063e-16	1.08261727160475	0.402737061872286
RvY_14960-1	des	fast	slow	-0.219580777325925	-0.23814367807457	-0.228862227700247	-0.228862227700247	FALSE	0.0185629007486448	0	0.0185629007486448	0.0994238933669423
RvY_14961-1	des	fast	slow	-0.5167028343751	-0.848495295049897	-0.682599064712498	-0.682599064712499	FALSE	0.331792460674797	4.44089209850063e-16	0.331792460674798	0.506823908312445
RvY_14962-1	des	fast	slow	-0.105913506341107	0.270887172681734	0.0824868331703126	0.0824868331703135	TRUE	0.376800679022841	8.88178419700125e-16	0.376800679022842	0.110386413903986
RvY_14963-1	des	fast	slow	-4.48475526495897	-2.17961737457946	-3.33218631976922	-3.33218631976922	FALSE	2.30513789037951	8.88178419700125e-16	2.30513789037951	7.21865553264337
RvY_14964-1	des	fast	slow	1.13008157064224	0.463008194504999	0.796544882573619	0.796544882573619	FALSE	0.667073376137241	8.88178419700125e-16	0.667073376137242	0.250648165363397
RvY_14965	des	fast	slow	-0.171066276158628	-0.0379156323416261	-0.104490954250127	-0.104490954250127	FALSE	0.133150643817002	0	0.133150643817002	0.0507002412977289
RvY_14966-1	des	fast	slow	-0.3236972800687	-0.246996334592296	-0.285346807330498	-0.285346807330498	FALSE	0.0767009454764036	0	0.0767009454764036	0.0471293675530861
RvY_14967-1	des	fast	slow	0.385482241090444	0.386639324944371	0.386060783017408	0.386060783017407	FALSE	0.00115708385392654	4.44089209850063e-16	0.00115708385392699	0.683348006263889
RvY_14968-1	des	fast	slow	-0.63666416127869	-1.19356354587492	-0.915113853576806	-0.915113853576806	FALSE	0.556899384596234	8.88178419700125e-16	0.556899384596234	0.392009101145875
RvY_14969-1	des	fast	slow	0.0215213776889751	-0.092856939977171	-0.0356677811440971	-0.035667781144098	TRUE	0.114378317666146	8.88178419700125e-16	0.114378317666147	0.105566376530548
