gene	n_timepoints	delta_pool	hetero_gap	discordance	instability_score	var_proxy
RvY_06046-1	8	-0.426781347389991	0.583076884544411	0	0.583076884544411	0.0402950416430219
RvY_06047-1	8	-0.0676219292347541	0.792049952600521	0.5	1.18807492890078	0.0822278223325202
RvY_06048	8	0.280618765631706	0.577540004098266	0.125	0.649732504610549	0.0437519211338634
RvY_06049	8	-0.0155566124518864	0.345435353826272	0.5	0.518153030739408	0.0154749489699767
RvY_06050-1	8	-0.318117427512473	0.603034254404392	0.125	0.678413536204941	0.0457632710940546
RvY_06051-1	8	0.710915623460474	0.933979611550536	0	0.933979611550536	0.11076593040267
RvY_06052-1	8	-0.974312325490295	1.33063967104761	0	1.33063967104761	0.2303232817195
RvY_06053-1	8	-0.173143777146587	0.411212186051067	0.125	0.462613709307451	0.0151567134496244
RvY_06054-1	8	-0.254791752878154	0.860786204660734	0.125	0.968384480243326	0.0709373281554151
RvY_06055-1	8	-0.538112333818521	0.890711485035823	0	0.890711485035823	0.102244484400585
RvY_06056-1	8	-0.611081470987562	0.802812350396648	0	0.802812350396648	0.0702648890522983
RvY_06057-1	8	-0.171623439937687	0.73648856437377	0.25	0.920610705467213	0.0546137544018632
RvY_06058-1	8	-0.276741067453396	0.715732051286774	0	0.715732051286774	0.0545491218729011
RvY_06059-1	8	0.59679882027252	0.789791359979989	0	0.789791359979989	0.0685430494617886
RvY_06060-1	8	0.200702328860247	0.518429521636235	0.25	0.648036902045293	0.0331331709038131
RvY_06061-1	8	-0.745230123235265	1.77557370015714	0.125	1.99752041267678	0.294036391657711
RvY_06062-1	8	0.639010499811379	0.87628815870628	0	0.87628815870628	0.0979138241934044
RvY_06063-1	8	-0.253503041402651	0.336527823564757	0	0.336527823564757	0.0119977663877326
RvY_06064-1	8	-0.0700890696940423	0.884794192207029	0.5	1.32719128831054	0.0961686068300564
RvY_06065-1	8	0.252733309737988	0.664429493793066	0.125	0.747483180517199	0.0411415395744386
RvY_06066-1	8	-1.11933851138996	0.878961888052278	0	0.878961888052278	0.0777995105397507
RvY_06067-1	8	-0.138141986471111	0.783350649638053	0.375	1.07710714325232	0.0889549793996098
RvY_06068	8	0.176247494655909	0.379504539172605	0.125	0.426942606569181	0.0120898674094532
RvY_06069-1	8	0.55575588751887	0.357427740219477	0	0.357427740219477	0.0162345016250298
RvY_06070-1	8	0.959153666127533	0.89982659629751	0	0.89982659629751	0.103560107820633
RvY_06071-1	8	0.287651943674872	0.778981408824532	0.125	0.876354084927599	0.0652468823085754
RvY_06072	8	0.240480692937936	0.561464560624383	0.125	0.631647630702431	0.0438342671293753
RvY_06073-1	8	-0.177599274922002	0.746237597553086	0.125	0.839517297247222	0.052013144586957
RvY_06074-1	8	0.00866378773885521	0.491350519715568	0.625	0.798444594537799	0.0453970903772149
RvY_06075	8	-0.662911733965	0.705061465773869	0	0.705061465773869	0.0505990333363574
RvY_06076	8	0.32521915765303	0.870440553592585	0.125	0.979245622791659	0.0863021037776041
RvY_06078-1	8	-0.717975499501332	0.785982984663938	0	0.785982984663938	0.0755032552990965
