feature	condition	subgroup_1	subgroup_2	delta_1	delta_2	delta_pool	delta_strat	sign_flip	hetero_gap	discordance	instability_score	var_proxy
RvY_14535-1	uv	long	short	-1.7725968667487	0.491353943933641	-0.646952198146249	-0.499124535739883	TRUE	2.26395081068234	0.147827662406365	2.41177847308871	1.47635638174997
RvY_10290	uv	long	short	1.26906138292937	-0.990108689823231	0.132268757733893	-0.00172178299396641	TRUE	2.2591700727526	0.13399054072786	2.39316061348046	0.310478379231289
RvY_03382	uv	long	short	1.3727052376931	-0.890414418055799	0.224402701271761	0.0997004313343428	TRUE	2.2631196557489	0.124702269937418	2.38782192568631	1.06800686395202
RvY_04310-1	uv	long	short	2.19736581713071	-0.0182891592514149	1.08717970359914	0.951059892915765	TRUE	2.21565497638213	0.136119810683377	2.3517747870655	0.77913592477857
RvY_01734-1	uv	long	short	1.02197839831605	-1.19802764932049	-0.101284295376165	-0.226775003479505	TRUE	2.22000604763654	0.12549070810334	2.34549675573988	0.645181655038
RvY_13663-1	uv	long	short	1.04997478778319	-1.16125544463498	-0.0613271308160739	-0.193842217952032	TRUE	2.21123023241817	0.132515087135958	2.34374531955413	0.881377296624293
RvY_03054	uv	long	short	0.92743826282513	-1.30557733373412	-0.222661672428902	-0.328633010239447	TRUE	2.23301559655925	0.105971337810545	2.33898693436979	0.650397303823315
RvY_18153-1	uv	long	short	1.15421860726266	-1.08996314524418	-0.0187189601618254	-0.108133628522433	TRUE	2.24418175250684	0.0894146683606079	2.33359642086745	1.5822192096094
RvY_03078-1	uv	long	short	-0.954783980778797	1.28569837232215	0.238584964370935	0.305487342840483	TRUE	2.24048235310094	0.0669023784695487	2.30738473157049	3.29012193564623
RvY_11656-1	uv	long	short	1.79728022898194	-0.370960234582386	0.710765757026332	0.577644968227007	TRUE	2.16824046356433	0.133120788799325	2.30136125236365	0.604706461733475
RvY_16778-1	uv	long	short	2.050965702623	-0.115188062663258	0.958440794706404	0.832504209649482	TRUE	2.16615376528626	0.125936585056922	2.29209035034318	0.510975423627329
