feature	condition	subgroup_1	subgroup_2	delta_1	delta_2	delta_pool	delta_strat	sign_flip	hetero_gap	discordance	instability_score	var_proxy
RvY_18505	des	fast	slow	-1.91937352052011	1.69600495611908	-0.111684282200516	-0.111684282200516	TRUE	3.61537847663919	4.44089209850063e-16	3.61537847663919	4.01202806943365
RvY_16562-1	des	fast	slow	-4.44410784652144	-0.859581690893602	-2.65184476870752	-2.65184476870752	FALSE	3.58452615562783	8.88178419700125e-16	3.58452615562783	6.74415511336364
RvY_01052-1	des	fast	slow	-0.460977083464612	3.1210819375832	1.33005242705929	1.33005242705929	TRUE	3.58205902104781	8.88178419700125e-16	3.58205902104781	4.14592015060531
RvY_12770-1	des	fast	slow	-4.32821331497725	-0.824066698470984	-2.57614000672412	-2.57614000672412	FALSE	3.50414661650626	8.88178419700125e-16	3.50414661650626	4.37152629591322
RvY_13229-1	des	fast	slow	-2.5506694002143	0.952506373749143	-0.799081513232578	-0.799081513232577	TRUE	3.50317577396344	4.44089209850063e-16	3.50317577396344	2.66711560004679
RvY_02824-1	des	fast	slow	-4.25452798079173	-0.758140307015331	-2.50633414390353	-2.50633414390353	FALSE	3.4963876737764	1.33226762955019e-15	3.4963876737764	4.2030160696436
RvY_06092-1	des	fast	slow	-3.26547968783288	0.197869634416673	-1.53380502670811	-1.5338050267081	TRUE	3.46334932224955	8.88178419700125e-16	3.46334932224956	3.07880501687396
RvY_03859-1	des	fast	slow	-4.94615643600987	-1.49541824313031	-3.22078733957009	-3.22078733957009	FALSE	3.45073819287956	0	3.45073819287956	7.05662148944122
RvY_00920-1	des	fast	slow	-1.0511724472181	2.38422522258677	0.666526387684335	0.666526387684334	TRUE	3.43539766980487	4.44089209850063e-16	3.43539766980487	3.34824247937514
RvY_12292-1	des	fast	slow	-3.36317447724242	0.0607267434648797	-1.65122386688877	-1.65122386688877	TRUE	3.4239012207073	0	3.4239012207073	4.0751043351789
RvY_12441-1	des	fast	slow	-4.19734808176861	-0.778867157306035	-2.48810761953732	-2.48810761953732	FALSE	3.41848092446258	8.88178419700125e-16	3.41848092446258	5.18440912247204
RvY_05937-1	des	fast	slow	-3.75657766444438	-0.340251310808123	-2.04841448762625	-2.04841448762625	FALSE	3.41632635363626	0	3.41632635363626	3.85704783259265
RvY_16785-1	des	fast	slow	-5.29653741632049	-1.88412694996256	-3.59033218314152	-3.59033218314152	FALSE	3.41241046635794	8.88178419700125e-16	3.41241046635794	10.00834008027
RvY_15660-1	des	fast	slow	-4.96362388148661	-1.58284451983728	-3.27323420066195	-3.27323420066195	FALSE	3.38077936164933	0	3.38077936164933	6.94160055858674
RvY_14254-1	des	fast	slow	-4.51614106163234	-1.14146025935763	-2.82880066049498	-2.82880066049498	FALSE	3.37468080227471	8.88178419700125e-16	3.37468080227471	6.43451229011281
RvY_06216-1	des	fast	slow	-4.92890674670776	-1.58630456677924	-3.2576056567435	-3.2576056567435	FALSE	3.34260217992853	8.88178419700125e-16	3.34260217992853	7.43700623251309
RvY_16217-1	des	fast	slow	-4.15519575453887	-0.836498262707966	-2.49584700862342	-2.49584700862342	FALSE	3.3186974918309	0	3.3186974918309	2.82294195583425
RvY_16315-1	des	fast	slow	-4.10009626288455	-0.784647608846971	-2.44237193586576	-2.44237193586576	FALSE	3.31544865403758	0	3.31544865403758	4.20791820036046
RvY_01091-1	des	fast	slow	2.59056486850568	-0.724816204579923	0.932874331962879	0.932874331962878	TRUE	3.3153810730856	8.88178419700125e-16	3.3153810730856	8.48594655144754
RvY_01369-1	des	fast	slow	-4.37810048781275	-1.06850890726291	-2.72330469753783	-2.72330469753783	FALSE	3.30959158054984	0	3.30959158054984	5.30712358028103
RvY_03670-1	des	fast	slow	-0.916891061857377	2.38980026860633	0.736454603374475	0.736454603374475	TRUE	3.3066913304637	4.44089209850063e-16	3.3066913304637	5.62680105225808
RvY_14930-1	des	fast	slow	-4.22058147718109	-0.914208903100855	-2.56739519014097	-2.56739519014097	FALSE	3.30637257408023	8.88178419700125e-16	3.30637257408023	4.4546117501114
RvY_17399-1	des	fast	slow	-3.69516963666007	-0.415787442436612	-2.05547853954834	-2.05547853954834	FALSE	3.27938219422346	4.44089209850063e-16	3.27938219422346	4.01840512790707
RvY_13323-1	des	fast	slow	-5.06253061752671	-1.79170848665304	-3.42711955208988	-3.42711955208988	FALSE	3.27082213087366	0	3.27082213087366	7.11627349551954
