gene,category,protein_id,protein_extracted
RvY_17050-1,Pooled-only,GAV07177.1,TRUE
RvY_03819-1,Pooled-only,GAU91592.1,TRUE
RvY_13511-1,Pooled-only,GAV03022.1,TRUE
RvY_16958-1,Pooled-only,GAV07076.1,TRUE
RvY_03744-1,Pooled-only,GAU91505.1,TRUE
RvY_02649-1,Pooled-only,GAU90198.1,TRUE
RvY_03998-1,Pooled-only,GAU91809.1,TRUE
RvY_03101-1,Pooled-only,GAU90723.1,TRUE
RvY_15001-1,Pooled-only,GAV04775.1,TRUE
RvY_06764-1,Pooled-only,GAU95087.1,TRUE
RvY_06351-1,Pooled-only,GAU94613.1,TRUE
RvY_18544-1,Pooled-only,GAV08925.1,TRUE
RvY_11867-1,Pooled-only,GAV01105.1,TRUE
RvY_15057,Pooled-only,GAV04838.1,TRUE
RvY_01716-1,Pooled-only,GAU89128.1,TRUE
RvY_01433-1,Pooled-only,GAU88799.1,TRUE
RvY_00482-1,Pooled-only,GAU87668.1,TRUE
RvY_19214,Pooled-only,GAV09724.1,TRUE
RvY_15678,Pooled-only,GAV05572.1,TRUE
RvY_10445-1,Pooled-only,GAU99440.1,TRUE
RvY_11604,Pooled-only,GAV00807.1,TRUE
RvY_18007-1,Pooled-only,GAV08291.1,TRUE
RvY_01197-1,Pooled-only,GAU88510.1,TRUE
RvY_04686,Pooled-only,GAU92632.1,TRUE
RvY_19025-1,Pooled-only,GAV09488.1,TRUE
RvY_08293-1,Pooled-only,GAU96926.1,TRUE
RvY_07667-1,Pooled-only,GAU96184.1,TRUE
RvY_14711-1,Pooled-only,GAV04436.1,TRUE
RvY_18543-1,Pooled-only,GAV08924.1,TRUE
RvY_06939-1,Pooled-only,GAU95295.1,TRUE
RvY_03835-1,Pooled-only,GAU91610.1,TRUE
RvY_11464-1,Pooled-only,GAV00643.1,TRUE
RvY_18641,Pooled-only,GAV09037.1,TRUE
RvY_03764-1,Pooled-only,GAU91528.1,TRUE
RvY_07956-1,Pooled-only,GAU96525.1,TRUE
RvY_03616,Pooled-only,GAU91345.1,TRUE
RvY_03666-1,Pooled-only,GAU91408.1,TRUE
RvY_12252,Pooled-only,GAV01557.1,TRUE
RvY_02000-1,Pooled-only,GAU89451.1,TRUE
RvY_00970-1,Pooled-only,GAU88230.1,TRUE
RvY_17052-1,Pooled-only,GAV07179.1,TRUE
RvY_11038-1,Pooled-only,GAV00150.1,TRUE
RvY_06258-1,Pooled-only,GAU94489.1,TRUE
RvY_16564-1,Pooled-only,GAV06602.1,TRUE
RvY_12219-1,Pooled-only,GAV01520.1,TRUE
RvY_08284-1,Pooled-only,GAU96915.1,TRUE
RvY_06831-1,Pooled-only,GAU95159.1,TRUE
RvY_09023,Pooled-only,GAU97787.1,TRUE
RvY_07331,Pooled-only,GAU95769.1,TRUE
RvY_12301-1,Pooled-only,GAV01615.1,TRUE
RvY_15280-2,Pooled-only,GAV05101.1,TRUE
RvY_10068-1,Pooled-only,GAU99006.1,TRUE
RvY_15025-1,Pooled-only,GAV04801.1,TRUE
RvY_11696-1,Pooled-only,GAV00913.1,TRUE
RvY_11995,Pooled-only,GAV01255.1,TRUE
RvY_01193-1,Pooled-only,GAU88506.1,TRUE
RvY_12015-1,Pooled-only,GAV01278.1,TRUE
RvY_06816-1,Pooled-only,GAU95141.1,TRUE
RvY_14820-1,Pooled-only,GAV04553.1,TRUE
RvY_13094-1,Pooled-only,GAV02547.1,TRUE
RvY_15289,Pooled-only,GAV05112.1,TRUE
RvY_04381-1,Pooled-only,GAU92281.1,TRUE
RvY_03742-1,Pooled-only,GAU91503.1,TRUE
RvY_13852,Pooled-only,GAV03427.1,TRUE
RvY_04920-1,Pooled-only,GAU92901.1,TRUE
RvY_12429,Pooled-only,GAV01771.1,TRUE
RvY_15500-1,Pooled-only,GAV05352.1,TRUE
RvY_02784-1,Pooled-only,GAU90360.1,TRUE
RvY_13156-1,Pooled-only,GAV02615.1,TRUE
RvY_00438-1,Pooled-only,GAU87619.1,TRUE
