gene	instability_score	hetero_gap	sign_flip	delta_pool	short_annot	ipr_go	ipr_path	pfam_hits
RvY_03711-1	2.29190769556979	2.18103530659237	TRUE	-0.171458494632748	Uncharacterized protein	""	""	""
RvY_17009-1	2.28123814619344	2.16634103646143	TRUE	0.971270996813696	Uncharacterized protein	""	""	""
RvY_01402-1	2.27234212830339	2.1546059131637	TRUE	-0.0236178691290201	Uncharacterized protein	""	""	""
RvY_11683-1	2.27086520404342	2.16369808475032	TRUE	0.911868211565179	Uncharacterized protein	""	""	""
RvY_13098-1	2.26842883670518	2.13676695662965	TRUE	0.461706391101504	Uncharacterized protein	""	""	""
RvY_04007	2.26397169045025	2.18359041861202	TRUE	0.936876074225846	Uncharacterized protein	""	""	""
RvY_08139-1	2.26179709994798	2.15229062709736	TRUE	-0.226745952931013	Uncharacterized protein	""	""	""
RvY_16041	2.26160789482225	2.08796259826008	TRUE	0.218371571176982	Uncharacterized protein	""	""	""
RvY_19360-1	2.2572664822046	2.20852173245488	TRUE	0.130745948963201	Uncharacterized protein	""	""	""
RvY_07969-1	2.24389958449744	2.132150930345	TRUE	-0.434171976419327	Uncharacterized protein	""	""	""
RvY_17911-1	2.23601041086264	2.15353401680605	TRUE	-0.563481081169314	Uncharacterized protein	""	""	""
RvY_02577-1	2.23588100438094	2.11421675882284	TRUE	-0.00793932494116234	Uncharacterized protein	""	""	""
RvY_10077-1	2.23043137613887	2.13118654033432	TRUE	0.5314778274314	Uncharacterized protein	""	""	""
RvY_17017-1	2.2280556087764	2.13427735158815	TRUE	0.0575995411893686	Uncharacterized protein	""	""	""
RvY_00302-1	2.22649221062021	2.11219099554953	TRUE	-0.17751050725444	Uncharacterized protein	""	""	""
RvY_06583	2.21996577979398	2.15463576447059	TRUE	0.139701122334534	Uncharacterized protein	""	""	""
RvY_10146-1	2.21946447808165	2.1313411742369	TRUE	-0.0434403723108883	Uncharacterized protein	""	""	""
RvY_13484	2.21184740964727	2.11383889046313	TRUE	-0.303521102411739	Uncharacterized protein	""	""	""
RvY_17613	2.20710631612927	2.10677993659987	TRUE	-0.135394717267261	Uncharacterized protein	""	""	""
RvY_17169-1	2.20676460324067	2.13986679492746	TRUE	0.337744058098825	Uncharacterized protein	""	""	""
RvY_16508-1	2.20098475024544	2.06281463780576	TRUE	-0.843430798362779	Uncharacterized protein	""	""	""
RvY_07351-1	2.19866448926779	2.07427400312867	TRUE	-0.657082474058473	Uncharacterized protein	""	""	""
RvY_07904	2.1952240580609	2.05863236809736	TRUE	-0.0789002933956553	Uncharacterized protein	""	""	""
RvY_06298-1	2.19407788116534	2.08806274311745	TRUE	0.45041987876806	Uncharacterized protein	""	""	""
RvY_12845-1	2.19000626106193	2.08270394681318	TRUE	0.0374059952245043	Uncharacterized protein	""	""	""
RvY_14824-1	2.18735631790651	2.06771874100308	TRUE	-0.27697496153502	Uncharacterized protein	""	""	""
RvY_14697-1	2.18447702874813	2.08594176581506	TRUE	0.920177464085327	Uncharacterized protein	""	""	""
RvY_08869-1	2.17469397730398	2.0386531802806	TRUE	0.772879228138074	Uncharacterized protein	""	""	""
RvY_04206	2.16161669134541	2.04860189683102	TRUE	-0.534287777359142	Uncharacterized protein	""	""	""
RvY_15840-1	2.16064463828368	2.05095288080681	TRUE	-0.0752359563285632	Uncharacterized protein	""	""	""
RvY_02643	2.15462298464431	2.01211763346016	TRUE	-0.770446073617721	Uncharacterized protein	""	""	""
RvY_05282-1	2.15288805475957	2.0263481580871	TRUE	-0.28928265834064	Uncharacterized protein	""	""	""
RvY_16695	2.15114533083892	2.00743814692202	TRUE	-0.457545854313377	Uncharacterized protein	""	""	""
RvY_07093	2.15074843010392	2.00086221058793	TRUE	-0.443860134890578	Uncharacterized protein	""	""	""
RvY_12836-1	2.14205787491422	2.04487814068269	TRUE	-0.391847797453619	Uncharacterized protein	""	""	""
RvY_17673-1	2.1418014165313	2.05336747224264	TRUE	0.548195670914456	Uncharacterized protein	""	""	""
RvY_03476-1	2.13562611516926	2.01690583382105	TRUE	0.694257256411412	Uncharacterized protein	""	""	""
RvY_01840	2.13007563965106	1.98820701916491	TRUE	0.777336333284193	Uncharacterized protein	""	""	""
RvY_03547	2.12408365751749	1.99792352727793	TRUE	-0.436956670245661	Uncharacterized protein	""	""	""
RvY_17919	2.12214310154716	1.99662839965203	TRUE	0.769516649188487	Uncharacterized protein	""	""	""
RvY_04400	2.12208594294912	2.0233904328724	TRUE	-0.0301556257624895	Uncharacterized protein	""	""	""
RvY_00941-1	2.12177748373067	2.02175485761369	TRUE	0.736380044431117	Uncharacterized protein	""	""	""
RvY_09765-1	2.12052115450576	1.98942528366113	TRUE	-0.636299312780279	Uncharacterized protein	""	""	""
RvY_15640-1	2.12005855133942	2.01995909289237	TRUE	0.111082614664602	Uncharacterized protein	""	""	""
RvY_12270-1	2.1200223770941	1.98835072003191	TRUE	0.0443442631889326	Uncharacterized protein	""	""	""
RvY_19358-1	2.10894089346423	1.94712490155763	TRUE	0.10107652365731	Uncharacterized protein	""	""	""
RvY_04048	2.10584382792648	2.02699837212638	TRUE	0.114807688856143	Uncharacterized protein	""	""	""
RvY_09162-1	2.10506115710287	1.99655941754198	TRUE	-0.587662014203164	Uncharacterized protein	""	""	""
RvY_00844-1	2.10152183359481	1.97098523276879	TRUE	-0.123823262093483	Uncharacterized protein	""	""	""
RvY_09669-1	2.09511313340233	1.99141297255589	TRUE	0.243133077591576	Uncharacterized protein	""	""	""
RvY_04191	2.08695104082791	1.9825171596092	TRUE	0.177750033911211	Uncharacterized protein	""	""	""
RvY_07189-1	2.08491070738306	1.93781652576126	TRUE	-0.725639474497518	Uncharacterized protein	""	""	""
RvY_13181-1	2.08248503512151	1.95278104825548	TRUE	0.434788023990132	Uncharacterized protein	""	""	""
RvY_09004-1	2.08041540849806	1.98811881096742	TRUE	-0.387720583541362	Uncharacterized protein	""	""	""
