gene	gene_base	protein_id	ncbi_protein_desc	match_type	delta_pool	instability_score
RvY_19049-1	NA	GAV09527.1	hypothetical protein	exact_gene	-0.108673221030841	1.32857493724633
RvY_19182-1	NA	GAV09683.1	hypothetical protein	exact_gene	0.0625311196675815	1.18635196458474
RvY_19186-1	NA	GAV09689.1	hypothetical protein	exact_gene	-0.0550789892951649	1.63095442393404
RvY_19229-1	NA	GAV09741.1	hypothetical protein	exact_gene	0.0291445949122373	1.79765874521693
RvY_19249-1	NA	GAV09763.1	hypothetical protein	exact_gene	0.0770346220943106	1.46200961784268
RvY_19266-1	NA	GAV09781.1	hypothetical protein	exact_gene	0.0658907470291705	1.26391701141518
RvY_19307	NA	GAV09831.1	hypothetical protein	exact_gene	0.108798277665132	1.33405720581215
RvY_19347-1	NA	GAV09877.1	hypothetical protein	exact_gene	-0.0863070639238845	1.48772236012856
RvY_19358-1	NA	GAV09891.1	hypothetical protein	exact_gene	0.10107652365731	2.10894089346423
RvY_19388-1	NA	GAV09919.1	hypothetical protein	exact_gene	-0.0909860182894766	1.20024578740976
RvY_19533-1	NA	GAV10038.1	hypothetical protein	exact_gene	-0.0137007652483812	1.41525040905168
RvY_19540-1	NA	GAV10042.1	hypothetical protein	exact_gene	-0.102548415534092	1.21716711158953
RvY_19642-1	NA	GAV10084.1	hypothetical protein	exact_gene	-0.056167967219352	1.1936778604081
RvY_19658-1	NA	GAV10088.1	hypothetical protein	exact_gene	-0.0480399445338673	1.21366855034091
