gene	gene_base	protein_id	ncbi_protein_desc	match_type	delta_pool	instability_score
RvY_05440	NA	GAU93509.1	hypothetical protein	exact_gene	-0.0445327076820732	1.29631699237391
RvY_05652-1	NA	GAU93764.1	hypothetical protein	exact_gene	-0.0409689645188474	1.3636259766392
RvY_05679	NA	GAU93794.1	hypothetical protein	exact_gene	0.040889612775632	1.25050620342975
RvY_05680-1	NA	GAU93796.1	hypothetical protein	exact_gene	0.0770819190889949	1.16999402093651
RvY_05724-1	NA	GAU93853.1	hypothetical protein	exact_gene	-0.100986028379653	1.28956232009353
RvY_05835-1	NA	GAU93986.1	hypothetical protein	exact_gene	-0.0835640388696621	1.17899050294048
RvY_05898	NA	GAU94056.1	hypothetical protein	exact_gene	-0.011969137444332	1.20849308970367
RvY_05931-1	NA	GAU94099.1	hypothetical protein	exact_gene	-0.0784955931007572	1.29584652588931
RvY_05949-1	NA	GAU94120.1	hypothetical protein	exact_gene	-0.0821313284268328	1.39461033549928
RvY_06015-1	NA	GAU94193.1	hypothetical protein	exact_gene	0.0232564650862672	1.78703272929219
RvY_06030	NA	GAU94211.1	hypothetical protein	exact_gene	0.0421234422907828	1.80491239257018
RvY_06047-1	NA	GAU94234.1	hypothetical protein	exact_gene	0.0575766596587775	1.40577612313793
RvY_06243-1	NA	GAU94472.1	hypothetical protein	exact_gene	-0.00235640924855041	1.51667053437796
RvY_06249-1	NA	GAU94479.1	hypothetical protein	exact_gene	0.027938704602132	1.66808585537113
RvY_06355-1	NA	GAU94617.1	hypothetical protein	exact_gene	0.0853479991165278	1.39246647135143
RvY_06451-1	NA	GAU94728.1	hypothetical protein	exact_gene	0.0906765190309358	1.19690705980674
RvY_06540-1	NA	GAU94830.1	hypothetical protein	exact_gene	-0.0271045718848661	2.51539484112141
RvY_06621-1	NA	GAU94922.1	hypothetical protein	exact_gene	-0.114784283341193	1.36260300754012
RvY_06736-1	NA	GAU95055.1	hypothetical protein	exact_gene	-0.0748661861816036	1.3702385793756
RvY_06758	NA	GAU95080.1	hypothetical protein	exact_gene	-0.0300972359474345	1.37952915826416
RvY_06826-1	NA	GAU95151.1	hypothetical protein	exact_gene	-0.0974676740670368	1.38841282803701
RvY_06920-1	NA	GAU95274.1	hypothetical protein	exact_gene	-0.0658928332818469	1.54916861161614
RvY_06981	NA	GAU95348.1	hypothetical protein	exact_gene	0.0785879924944295	1.75811774867675
RvY_07038-1	NA	GAU95417.1	hypothetical protein	exact_gene	-0.00557094153240811	1.45836017808787
RvY_07155-1	NA	GAU95555.1	hypothetical protein	exact_gene	-0.113555812692501	1.23157115376733
RvY_07160-1	NA	GAU95561.1	hypothetical protein	exact_gene	-0.0568654800514654	1.59540466820349
RvY_07245-1	NA	GAU95662.1	hypothetical protein	exact_gene	-0.112687721647926	1.79584911493209
RvY_07341-1	NA	GAU95784.1	hypothetical protein	exact_gene	-0.109322244442591	1.23236760872738
RvY_07434	NA	GAU95902.1	hypothetical protein	exact_gene	-0.0848076262167581	1.3678588408796
RvY_07469-1	NA	GAU95953.1	hypothetical protein	exact_gene	-0.0615081265521127	2.08023609125887
RvY_07514-1	NA	GAU96006.1	hypothetical protein	exact_gene	0.0806328255419757	1.53041509137689
RvY_07520-1	NA	GAU96012.1	hypothetical protein	exact_gene	-0.105885881588597	1.29661518965489
RvY_07817-1	NA	GAU96359.1	hypothetical protein	exact_gene	0.0506332032597783	1.21558727628917
RvY_07846-1	NA	GAU96391.1	hypothetical protein	exact_gene	0.0686727229596311	1.14713532592568
RvY_07904	NA	GAU96462.1	hypothetical protein	exact_gene	-0.0789002933956553	2.1952240580609
RvY_08208-1	NA	GAU96829.1	hypothetical protein	exact_gene	0.025023969702894	1.90264212914139
RvY_08216-1	NA	GAU96838.1	hypothetical protein	exact_gene	0.0461687604312546	1.35944661414267
RvY_08466-1	NA	GAU97113.1	hypothetical protein	exact_gene	0.0712092859329871	1.28974983617092
RvY_08544-1	NA	GAU97205.1	hypothetical protein	exact_gene	0.077474495693699	1.79715133364039
RvY_08550-1	NA	GAU97212.1	hypothetical protein	exact_gene	-0.0790820289267717	1.18934482930655
RvY_08551-1	NA	GAU97213.1	hypothetical protein	exact_gene	-0.107319854769418	1.19543771106039
RvY_08608-1	NA	GAU97284.1	hypothetical protein	exact_gene	0.035685071639513	1.36582861183916
RvY_08618-1	NA	GAU97296.1	hypothetical protein	exact_gene	-0.100999110045023	1.57191429647437
RvY_08835-1	NA	GAU97561.1	hypothetical protein	exact_gene	-0.104397501594353	1.26091948001493
RvY_08858	NA	GAU97584.1	hypothetical protein	exact_gene	-0.0403079191326068	1.78903000329867
RvY_08936-1	NA	GAU97683.1	hypothetical protein	exact_gene	0.00711763530957654	1.18702269140312
RvY_09009-1	NA	GAU97772.1	hypothetical protein	exact_gene	-0.115171212661831	1.464542622776
RvY_09061-1	NA	GAU97831.1	hypothetical protein	exact_gene	0.00765036481251613	1.39329838203354
RvY_09096-1	NA	GAU97870.1	hypothetical protein	exact_gene	-0.0569978353440961	1.90327633701924
RvY_09339-1	NA	GAU98159.1	hypothetical protein	exact_gene	-0.0377362641636143	1.1937302511425
RvY_09340-1	NA	GAU98160.1	hypothetical protein	exact_gene	0.0619346645716572	1.40566544470455
RvY_09464-1	NA	GAU98300.1	hypothetical protein	exact_gene	-0.0185026579404308	1.55544172243321
RvY_09555-1	NA	GAU98403.1	hypothetical protein	exact_gene	0.084038680634885	1.22788735818499
RvY_09600-1	NA	GAU98457.1	hypothetical protein	exact_gene	5.0968937920714e-4	1.17503071110892
RvY_09626-1	NA	GAU98487.1	hypothetical protein	exact_gene	-0.0024557651373236	1.59023236996251
RvY_09643-1	NA	GAU98506.1	hypothetical protein	exact_gene	-0.0335116018162331	1.78045617019119
RvY_09739-1	NA	GAU98615.1	hypothetical protein	exact_gene	-0.0217430254527606	1.64478908882158
RvY_09825-1	NA	GAU98714.1	hypothetical protein	exact_gene	0.0928141797869282	1.57499911371215
RvY_09970-1	NA	GAU98887.1	hypothetical protein	exact_gene	-0.108136180377489	1.53387227223601
RvY_10010-1	NA	GAU98938.1	hypothetical protein	exact_gene	0.0684658439809498	1.20463650270201
RvY_10146-1	NA	GAU99102.1	hypothetical protein	exact_gene	-0.0434403723108883	2.21946447808165
RvY_10187-1	NA	GAU99145.1	hypothetical protein	exact_gene	-0.0519373906113874	1.31236571844619
RvY_10405	NA	GAU99391.1	hypothetical protein	exact_gene	-0.119241979140801	1.53206897742011
RvY_10497-1	NA	GAU99504.1	hypothetical protein	exact_gene	-0.0242259077319771	1.20583072720719
RvY_10561-1	NA	GAU99586.1	hypothetical protein	exact_gene	-0.026282042277221	1.34970133359646
RvY_10601-1	NA	GAU99633.1	hypothetical protein	exact_gene	0.0625412602967534	1.24838280549221
RvY_10648-1	NA	GAU99687.1	hypothetical protein	exact_gene	0.0280969306518637	1.46002185182766
RvY_10661-1	NA	GAU99701.1	hypothetical protein	exact_gene	0.0309350134997857	1.40804375338017
RvY_10714-1	NA	GAU99762.1	hypothetical protein	exact_gene	0.102116216384122	1.18581255289808
RvY_10950	NA	GAV00038.1	hypothetical protein	exact_gene	0.0495509763166995	2.00474598141787
RvY_10997-1	NA	GAV00100.1	hypothetical protein	exact_gene	0.0723814237655791	1.40123489876005
RvY_10998	NA	GAV00101.1	hypothetical protein	exact_gene	-0.0491373109210898	1.71351913067276
RvY_11311-1	NA	GAV00468.1	hypothetical protein	exact_gene	-0.00249135460593841	1.27143325675857
RvY_11676-1	NA	GAV00888.1	hypothetical protein	exact_gene	-0.056585209718734	1.15252162911746
RvY_11715-1	NA	GAV00933.1	hypothetical protein	exact_gene	0.0736197182132781	1.70930285535028
RvY_11920-1	NA	GAV01168.1	hypothetical protein	exact_gene	0.110398432349847	1.4451052471876
RvY_11939-1	NA	GAV01191.1	hypothetical protein	exact_gene	0.0305010645201191	1.20341103905816
RvY_11994-1	NA	GAV01254.1	hypothetical protein	exact_gene	0.0723139974385276	1.36329474408419
RvY_11998-1	NA	GAV01259.1	hypothetical protein	exact_gene	-0.0635878192905306	1.55472020634158
RvY_12012-1	NA	GAV01275.1	hypothetical protein	exact_gene	-0.0211259250864355	1.20221942285322
